@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.Randomize-S7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision5'

@attribute pacman_position_x {'\'(-inf-0.01923]\'','\'(0.01923-0.55769]\'','\'(0.55769-0.63462]\'','\'(0.63462-0.94231]\'','\'(0.94231-inf)\''}
@attribute pacman_position_y {'\'(-inf-0.19444]\'','\'(0.19444-0.25]\'','\'(0.25-inf)\''}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x {'\'(-inf-0.56667]\'','\'(0.56667-inf)\''}
@attribute ghost_1_position_y {'\'(-inf-0.26471]\'','\'(0.26471-0.44118]\'','\'(0.44118-0.67647]\'','\'(0.67647-0.91176]\'','\'(0.91176-inf)\''}
@attribute ghost_2_position_x {'\'(-inf-0.65385]\'','\'(0.65385-0.73077]\'','\'(0.73077-inf)\''}
@attribute ghost_2_position_y {'\'(-inf-0.05882]\'','\'(0.05882-0.55882]\'','\'(0.55882-0.91176]\'','\'(0.91176-inf)\''}
@attribute ghost_3_position_x {'\'(-inf-0.63889]\'','\'(0.63889-inf)\''}
@attribute ghost_3_position_y {'\'(-inf-0.05263]\'','\'(0.05263-0.65789]\'','\'(0.65789-inf)\''}
@attribute ghost_4_position_x {'\'(-inf-0.2619]\'','\'(0.2619-0.7381]\'','\'(0.7381-inf)\''}
@attribute ghost_4_position_y {'\'(-inf-0.02381]\'','\'(0.02381-0.5]\'','\'(0.5-inf)\''}
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance {'\'(-inf-0.03704]\'','\'(0.03704-0.42593]\'','\'(0.42593-inf)\''}
@attribute ghost_2_distance {'\'(-inf-0.90385]\'','\'(0.90385-inf)\''}
@attribute ghost_3_distance {'\'(-inf-0.78333]\'','\'(0.78333-inf)\''}
@attribute ghost_4_distance {'\'(-inf-0.02778]\'','\'(0.02778-0.73611]\'','\'(0.73611-inf)\''}
@attribute pac_dots_distance {'\'All\''}
@attribute score {'\'(-inf-0.01189]\'','\'(0.01189-0.01637]\'','\'(0.01637-0.01706]\'','\'(0.01706-0.03051]\'','\'(0.03051-inf)\''}
@attribute next_action {North,South,East,West,Stop}

@data
'\'(0.01923-0.55769]\'','\'(0.19444-0.25]\'',East,False,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.65385-0.73077]\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',North,True,False,True,True,'\'(0.56667-inf)\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',East,Stop,East,North,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.63462-0.94231]\'','\'(-inf-0.19444]\'',North,False,False,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',North
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,False,False,False,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',North
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',Stop,True,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.65385-0.73077]\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.01637-0.01706]\'',South
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',West,False,False,False,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(-inf-0.2619]\'','\'(0.5-inf)\'',Stop,Stop,Stop,North,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',West
'\'(-inf-0.01923]\'','\'(0.25-inf)\'',South,True,True,True,True,'\'(-inf-0.56667]\'','\'(0.44118-0.67647]\'','\'(-inf-0.65385]\'','\'(0.05882-0.55882]\'','\'(-inf-0.63889]\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',North,West,West,West,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.01189-0.01637]\'',South
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',North,False,False,False,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',North,False,False,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',North
'\'(0.01923-0.55769]\'','\'(0.19444-0.25]\'',South,False,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.73077-inf)\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,North,South,West,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(-inf-0.01923]\'','\'(0.25-inf)\'',South,True,True,True,True,'\'(-inf-0.56667]\'','\'(0.44118-0.67647]\'','\'(0.65385-0.73077]\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(0.78333-inf)\'','\'(0.73611-inf)\'','\'All\'','\'(0.01189-0.01637]\'',South
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',South,False,False,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',Stop,Stop,North,North,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',South
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,True,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.73077-inf)\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',North,East,East,North,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',North,True,True,True,True,'\'(-inf-0.56667]\'','\'(0.44118-0.67647]\'','\'(0.65385-0.73077]\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(-inf-0.01189]\'',North
'\'(-inf-0.01923]\'','\'(0.25-inf)\'',West,True,False,False,False,'\'(-inf-0.56667]\'','\'(0.26471-0.44118]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(-inf-0.2619]\'','\'(-inf-0.02381]\'',East,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(-inf-0.02778]\'','\'All\'','\'(0.03051-inf)\'',South
'\'(0.01923-0.55769]\'','\'(-inf-0.19444]\'',East,False,False,False,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',South,True,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.65385-0.73077]\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',West,North,South,North,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.01189-0.01637]\'',East
'\'(0.01923-0.55769]\'','\'(-inf-0.19444]\'',North,False,False,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',Stop,Stop,South,East,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',North
'\'(0.01923-0.55769]\'','\'(-inf-0.19444]\'',East,False,False,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,True,False,True,True,'\'(0.56667-inf)\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',North,Stop,East,North,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',Stop
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,False,False,False,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',South
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,True,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.65385-0.73077]\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,False,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.73077-inf)\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,South,North,South,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',South
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',West,True,False,False,False,'\'(-inf-0.56667]\'','\'(0.26471-0.44118]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(-inf-0.2619]\'','\'(-inf-0.02381]\'',North,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(-inf-0.02778]\'','\'All\'','\'(0.03051-inf)\'',West
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',South,True,False,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',South
'\'(0.01923-0.55769]\'','\'(0.19444-0.25]\'',South,True,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(0.05263-0.65789]\'','\'(-inf-0.2619]\'','\'(0.02381-0.5]\'',West,East,West,West,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',South
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,True,False,False,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',South
'\'(0.63462-0.94231]\'','\'(-inf-0.19444]\'',East,True,True,True,True,'\'(0.56667-inf)\'','\'(0.67647-0.91176]\'','\'(0.73077-inf)\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(0.65789-inf)\'','\'(0.2619-0.7381]\'','\'(0.5-inf)\'',Stop,Stop,Stop,Stop,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.01189-0.01637]\'',North
'\'(0.63462-0.94231]\'','\'(0.25-inf)\'',North,True,True,True,True,'\'(0.56667-inf)\'','\'(0.91176-inf)\'','\'(0.73077-inf)\'','\'(0.91176-inf)\'','\'(-inf-0.63889]\'','\'(0.65789-inf)\'','\'(0.2619-0.7381]\'','\'(0.5-inf)\'',East,East,East,South,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(-inf-0.01189]\'',North
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,True,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.65385-0.73077]\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',West,North,North,North,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.63462-0.94231]\'','\'(0.25-inf)\'',North,False,False,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',West
'\'(0.63462-0.94231]\'','\'(0.25-inf)\'',North,True,True,True,True,'\'(0.56667-inf)\'','\'(0.67647-0.91176]\'','\'(0.73077-inf)\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(0.65789-inf)\'','\'(0.2619-0.7381]\'','\'(0.5-inf)\'',Stop,Stop,Stop,Stop,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(-inf-0.01189]\'',West
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',North,True,False,True,True,'\'(0.56667-inf)\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',East,Stop,East,North,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',North,True,True,True,False,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(0.05263-0.65789]\'','\'(-inf-0.2619]\'','\'(0.02381-0.5]\'',West,East,East,Stop,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(-inf-0.02778]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',South,False,False,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',Stop,Stop,South,South,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',South
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,True,False,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',North
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,True,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.65385-0.73077]\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(0.19444-0.25]\'',East,False,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.65385-0.73077]\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.7381-inf)\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',South
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,False,True,True,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(0.73077-inf)\'','\'(0.05882-0.55882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,East,West,West,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',East
'\'(0.01923-0.55769]\'','\'(-inf-0.19444]\'',Stop,True,True,True,True,'\'(0.56667-inf)\'','\'(0.67647-0.91176]\'','\'(-inf-0.65385]\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(0.65789-inf)\'','\'(0.2619-0.7381]\'','\'(0.5-inf)\'',Stop,West,South,West,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.01189-0.01637]\'',Stop
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',West,True,True,False,False,'\'(-inf-0.56667]\'','\'(0.26471-0.44118]\'','\'(-inf-0.65385]\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(-inf-0.2619]\'','\'(-inf-0.02381]\'',Stop,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(-inf-0.02778]\'','\'All\'','\'(0.03051-inf)\'',West
'\'(0.55769-0.63462]\'','\'(0.25-inf)\'',West,True,True,True,True,'\'(0.56667-inf)\'','\'(0.67647-0.91176]\'','\'(0.73077-inf)\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(0.65789-inf)\'','\'(0.2619-0.7381]\'','\'(0.5-inf)\'',Stop,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(-inf-0.01189]\'',West
'\'(0.63462-0.94231]\'','\'(0.25-inf)\'',North,False,False,True,False,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(0.63889-inf)\'','\'(0.05263-0.65789]\'','\'(-inf-0.2619]\'','\'(-inf-0.02381]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(-inf-0.02778]\'','\'All\'','\'(0.03051-inf)\'',North
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',West,True,True,False,False,'\'(-inf-0.56667]\'','\'(0.26471-0.44118]\'','\'(-inf-0.65385]\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(-inf-0.2619]\'','\'(-inf-0.02381]\'',Stop,Stop,Stop,Stop,'\'(0.03704-0.42593]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(-inf-0.02778]\'','\'All\'','\'(0.03051-inf)\'',West
'\'(0.01923-0.55769]\'','\'(-inf-0.19444]\'',South,True,True,False,False,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(-inf-0.2619]\'','\'(-inf-0.02381]\'',West,South,Stop,Stop,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(-inf-0.02778]\'','\'All\'','\'(0.03051-inf)\'',West
'\'(0.63462-0.94231]\'','\'(-inf-0.19444]\'',East,True,True,True,True,'\'(0.56667-inf)\'','\'(0.67647-0.91176]\'','\'(0.73077-inf)\'','\'(0.55882-0.91176]\'','\'(-inf-0.63889]\'','\'(0.65789-inf)\'','\'(0.2619-0.7381]\'','\'(0.5-inf)\'',East,North,South,South,'\'(0.42593-inf)\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.01189-0.01637]\'',East
'\'(0.01923-0.55769]\'','\'(0.25-inf)\'',East,False,False,False,True,'\'(-inf-0.56667]\'','\'(-inf-0.26471]\'','\'(-inf-0.65385]\'','\'(-inf-0.05882]\'','\'(-inf-0.63889]\'','\'(-inf-0.05263]\'','\'(0.2619-0.7381]\'','\'(0.02381-0.5]\'',Stop,Stop,Stop,Stop,'\'(-inf-0.03704]\'','\'(-inf-0.90385]\'','\'(-inf-0.78333]\'','\'(0.02778-0.73611]\'','\'All\'','\'(0.03051-inf)\'',Stop
